RecordID,Age,Gender,City
BEW802,28.0,Male,Munich
ACJ61,28.0,Male,Munich
AWO586,32.0,Male,Cologne
BJW932,30.0,Female,Stockholm
BVF1227,34.0,Male,Berlin
AXJ607,31.0,Male,Munich
AVP561,35.0,Male,Berlin
BCL739,42.0,Female,Berlin
ATE498,31.0,Male,Hamburg
BVS1240,31.0,Female,Berlin
AFM142,35.0,Male,Berlin
BVB1223,45.0,Male,Munich
BHP873,34.0,Female,Berlin
BKK946,35.0,Male,Frankfurt
BMW1010,25.0,Male,Hamburg
BNI1022,34.0,Male,Berlin
BJQ926,34.0,Male,Stuttgart 
AMD315,44.0,Male,Stuttgart
BLJ971,29.0,Male,Berlin
AXB599,35.0,Male,Berlin
BFA806,38.0,Male,Berlin
AFD133,36.0,Male,Berlin
ACH59,66.0,Male,Munich
AYK634,41.0,Male,Berlin
ATR511,33.0,Male,Berlin
ADI86,31.0,Male,Berlin
AUN533,32.0,Male,Munich
BMB989,40.0,Male,Mannheim
BCX751,40.0,Male,Berlin
BRO1132,30.0,Male,Berlin
BKO950,29.0,Male,Bonn
BBN715,30.0,Male,Berlin
BNK1024,26.0,Female,Hannover
BLC964,36.0,Male,Munich
BGQ848,,Female,Berlin
BCI736,28.0,Male,Berlin
AHT201,30.0,Male,Rosenheim
BFT825,28.0,Male,Berlin
BVH1229,25.0,Male,Berlin
ANZ363,28.0,Male,Munich
AEJ113,,Male,Berlin
BUG1202,27.0,Male,Krakow
AIU228,32.0,Male,Berlin
AGE160,34.0,Male,Vienna
AIS226,25.0,Male,Stuttgart
ASO482,32.0,Male,Berlin
AQS434,32.0,Male,Munich
AZO664,30.0,Male,Berlin
BIG890,32.0,Female,Berlin
AVU566,25.0,Male,Berlin
BDK764,31.0,Male,Berlin
BFB807,35.0,Male,Berlin
AIA208,38.0,Male,Berlin
AAU20,34.0,Male,Berlin
AJY258,33.0,Male,Berlin
ABS44,30.0,Male,Berlin
BMD991,27.0,Male,Cologne
BTC1172,30.0,Male,Berlin
AKZ285,45.0,Female,Frankfurt
BRR1135,24.0,Male,Berlin
BIV905,27.0,Male,Berlin
AOU384,35.0,Male,Cologne
APU410,28.0,Male,Würzburg
AIF213,27.0,Male,Berlin
ASP483,28.0,Male,Berlin
BOF1045,36.0,Male,Munich
AJU254,31.0,Female,Berlin
AYA624,33.0,Male,Berlin
ANW360,25.0,Male,Berlin
BKC938,45.0,Male,Madrid
AGT175,33.0,Male,Berlin
AMP327,32.0,Male,Nürnberg
BDR771,39.0,Male,Berlin
AVB547,27.0,Male,Berlin
AXA598,39.0,Male,Hamburg
BFW828,30.0,Male,Hannover
BRF1123,27.0,Male,Munich
AUP535,35.0,Male,Munich
BTL1181,,,Berlin
AYE628,28.0,Male,Wolfsburg
AMG318,33.0,Diverse,Hamburg
BCM740,30.0,Male,Berlin
BCD731,28.0,Male,Munich
BEV801,42.0,Male,Berlin
BEP795,31.0,Male,Minsk
AIC210,25.0,Female,Munich
AVC548,33.0,Male,Berlin
AEQ120,28.0,Male,Munich
AUM532,37.0,Male,Berlin
